Meter	Temperature	Radiation
8718621,733	22,56845312	19,0796051
8718640,4	21,93320355	9,188901424
8718643,55	21,38703791	2,029107571
8718644	20,93250675	0,370734692
8718644	20,50806236	0
8718644	20,45410029	0
8718644	20,29892131	0
8718644	20,11864294	0
8718644	19,98127318	0
8718644	19,69026568	0
8718644	19,46283694	0
8718644	19,28921949	0
8718644	19,08604027	0
8718644	18,78284078	0
8718644	18,61559557	0
8718644	18,5704057	0
8718644	18,6566547	0
8718644	18,3078987	0
8718644	18,26199213	0
8718644	18,02776287	0
8718644	17,04994196	0
8718644	17,19914179	0
8718644	17,16575443	0
8718644	16,61884548	0
8718644	16,40675271	0
8718644	15,77637373	0
8718644	15,19400507	0
8718644	15,03886629	0
8718644	14,86466891	0
8718644	14,65935963	0
8718644	14,298746	0
8718644	14,01560546	0
8718644	13,68238897	0
8718644	13,18264097	0
8718644	12,95593767	0
8718644	12,9845443	0
8718644	12,70654051	0
8718644	12,89329052	0
8718644	13,23866125	0
8718644	13,06826736	0
8718644	12,81284429	0
8718644	12,83499788	0
8718644	12,7598356	0
8718644	12,5552941	0
8718644	12,34892972	0
8718644	11,99940098	0
8718644	11,85514184	0
8718644	12,63020547	0
8718644	13,28274577	0
8718644	13,01552808	0
8718644	13,60425722	0
8718644	12,96554203	0
8718644	12,51427811	0
8718644	12,64761686	0
8718644	12,43343129	0
8718644	12,1702897	0
8718644	11,95626151	0
8718644	11,72926997	0
8718644	11,43624365	0
8718644	11,48213131	0
8718644	10,63293801	0
8718644	10,43734547	0
8718644	10,24520771	0
8718644	10,44760239	0
8718644	10,63555813	0
8718644,467	10,80276663	0,164882859
8718647,733	10,97864725	1,319062869
8718665,732	11,2223512	6,089936256
8718702,197	11,54861776	14,59231683
8718763,862	11,66113024	24,77287738
8718861,19	12,07195543	40,29664103
8719007,418	12,95055182	62,45544561
8719258,266	13,61261821	94,04345703
8719618,943	14,11081958	128,9884186
8720100,407	14,50759594	166,158062
8720752,245	15,08655671	205,9633026
8721425,091	15,66494304	247,2021179
8722090,68	16,42108966	289,5657234
8722757,065	17,40392485	332,7122192
8723423,452	18,18090201	376,0898234
8724089,753	18,42169875	419,4997355
8724756,311	18,84261158	462,4997355
8725422,943	19,41712957	505,3413086
8726010,39	19,8592906	545,6505534
8726122,536	19,92543983	571,3064779
8726139	19,92543983	582,9422201
8726384,876	20,36092609	593,2132568
8728106,012	21,99625244	664,7638346
8729423,012	22,3469316	733,6879069
8730089,842	22,96654421	786,6727295
8730755,727	23,41608789	821,0606283
8731423,117	23,89440252	852,8952433
8732091,79	24,1266745	884,7168935
8732758,164	24,54570173	913,1835327
8733423,288	25,01887999	940,8033244
8734087,779	25,222988	967,3584086
8734753,669	25,56717385	989,2513224
8735420,227	25,75454548	1010,970296
8736087,127	25,83649821	1032,608607
8736753,462	26,31727871	1050,144409
8737420,641	26,5750591	1065,500977
8738088,424	26,83243691	1078,912984
