Total	Norte	Nordeste	Sudeste	Sul	Centro_Oeste
39100842,44	2650238,67	6352811,92	19689599,59	7529567,53	2878624,73
41036995,60	2868036,25	6582244,52	20852952,93	7732145,06	3001616,84
40622115,05	2678896,39	6666062,47	20732785,77	7482515,07	3061855,35
39192049,51	2666862,55	6656483,17	19736423,81	7148015,67	2984264,31
38134883,58	2583670,15	6597092,78	19179160,04	6860097,86	2914862,75
38438004,92	2658262,79	6520930,50	19272778,68	7009361,93	2976671,02
38939067,05	2688772,93	6688453,64	19378187,37	7093113,40	3090539,71
38961360,65	2688898,93	6637228,26	19599718,17	6906128,27	3129387,02
40321034,99	2828209,80	7054059,65	20110168,82	7040952,42	3287644,30
40303503,09	2723342,94	7184839,02	20129408,67	7125680,07	3140232,39
39766608,46	2584934,38	6849468,52	19993839,69	7229572,62	3108793,25
41631607,05	2565996,63	6976749,51	21043618,84	7917056,04	3128186,03
41195735,58	2410107,17	6810659,79	20710106,72	8073796,91	3191064,99
40982099,00	2599358,08	7057927,55	20600998,62	7692596,89	3031217,86
39570709,74	2567789,96	6770602,85	19867884,97	7308056,06	3056375,90
40498880,32	2688926,85	7060032,05	20298940,34	7309530,14	3141450,94
38212593,38	2719972,47	6381540,93	19071366,11	6996845,52	3042868,35
